areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2020-12-04,1690432,79504,,
K02000001,United Kingdom,overview,2020-12-03,1674134,79005,,
K02000001,United Kingdom,overview,2020-12-02,1659256,78501,,
K02000001,United Kingdom,overview,2020-12-01,1643086,78087,,
K02000001,United Kingdom,overview,2020-11-30,1629657,77662,,
K02000001,United Kingdom,overview,2020-11-29,1617327,77197,,
K02000001,United Kingdom,overview,2020-11-28,1605172,76696,,
K02000001,United Kingdom,overview,2020-11-27,1589301,76210,,
K02000001,United Kingdom,overview,2020-11-26,1574562,75750,,
K02000001,United Kingdom,overview,2020-11-25,1557007,75289,,
K02000001,United Kingdom,overview,2020-11-24,1538794,74790,,
K02000001,United Kingdom,overview,2020-11-23,1527495,74294,,
K02000001,United Kingdom,overview,2020-11-22,1512045,73786,,
K02000001,United Kingdom,overview,2020-11-21,1493383,73274,,
K02000001,United Kingdom,overview,2020-11-20,1473508,72776,,
K02000001,United Kingdom,overview,2020-11-19,1453256,72291,,
K02000001,United Kingdom,overview,2020-11-18,1430341,71806,,
K02000001,United Kingdom,overview,2020-11-17,1410732,71292,,
K02000001,United Kingdom,overview,2020-11-16,1390681,70826,,
K02000001,United Kingdom,overview,2020-11-15,1369318,70395,,
K02000001,United Kingdom,overview,2020-11-14,1344356,69938,,
K02000001,United Kingdom,overview,2020-11-13,1317496,69479,,
K02000001,United Kingdom,overview,2020-11-12,1290195,69029,,
K02000001,United Kingdom,overview,2020-11-11,1256725,68599,,
K02000001,United Kingdom,overview,2020-11-10,1233775,68190,,
K02000001,United Kingdom,overview,2020-11-09,1213363,67780,,
K02000001,United Kingdom,overview,2020-11-08,1192013,67287,,
K02000001,United Kingdom,overview,2020-11-07,1171441,66854,,
K02000001,United Kingdom,overview,2020-11-06,1146484,66437,,
K02000001,United Kingdom,overview,2020-11-05,1123197,66020,,
K02000001,United Kingdom,overview,2020-11-04,1099059,65632,,
K02000001,United Kingdom,overview,2020-11-03,1073882,65292,,
K02000001,United Kingdom,overview,2020-11-02,1053864,64915,,
K02000001,United Kingdom,overview,2020-11-01,1034914,64577,,
K02000001,United Kingdom,overview,2020-10-31,1011660,64218,,
K02000001,United Kingdom,overview,2020-10-30,989745,63878,,
K02000001,United Kingdom,overview,2020-10-29,965340,63526,,
K02000001,United Kingdom,overview,2020-10-28,942275,63206,,
K02000001,United Kingdom,overview,2020-10-27,917575,62925,,
K02000001,United Kingdom,overview,2020-10-26,894690,62640,,
K02000001,United Kingdom,overview,2020-10-25,873800,62358,,
K02000001,United Kingdom,overview,2020-10-24,854010,62103,,
K02000001,United Kingdom,overview,2020-10-23,830998,61884,,
K02000001,United Kingdom,overview,2020-10-22,810467,61659,,
K02000001,United Kingdom,overview,2020-10-21,789229,61417,,
K02000001,United Kingdom,overview,2020-10-20,762542,61185,,
K02000001,United Kingdom,overview,2020-10-19,741212,60975,,
K02000001,United Kingdom,overview,2020-10-18,722409,60782,,
K02000001,United Kingdom,overview,2020-10-17,705428,60615,,
K02000001,United Kingdom,overview,2020-10-16,689257,60429,,
K02000001,United Kingdom,overview,2020-10-15,673622,60267,,
K02000001,United Kingdom,overview,2020-10-14,654644,60115,,
K02000001,United Kingdom,overview,2020-10-13,634920,59992,,
K02000001,United Kingdom,overview,2020-10-12,617688,59873,,
K02000001,United Kingdom,overview,2020-10-11,603716,59753,,
K02000001,United Kingdom,overview,2020-10-10,590844,59625,,
K02000001,United Kingdom,overview,2020-10-09,575679,59518,,
K02000001,United Kingdom,overview,2020-10-08,561815,59422,,
K02000001,United Kingdom,overview,2020-10-07,544275,59325,,
